Date;Price;
02/03/2020;14250;
03/03/2020;14250;
04/03/2020;14250;
05/03/2020;14250;
06/03/2020;14250;
09/03/2020;14250;
10/03/2020;14250;
11/03/2020;14250;
12/03/2020;14250;
13/03/2020;14250;
16/03/2020;14250;
17/03/2020;14250;
18/03/2020;14250;
19/03/2020;14250;
20/03/2020;14250;
23/03/2020;14250;
24/03/2020;14250;
26/03/2020;14250;
27/03/2020;14250;
30/03/2020;14250;
31/03/2020;14250;
01/04/2020;14250;
02/04/2020;14250;
03/04/2020;14250;
06/04/2020;14250;
07/04/2020;14250;
08/04/2020;14250;
09/04/2020;14250;
13/04/2020;14250;
14/04/2020;14250;
15/04/2020;14250;
16/04/2020;14250;
17/04/2020;14250;
20/04/2020;14250;
21/04/2020;14250;
22/04/2020;14250;
23/04/2020;14250;
24/04/2020;14250;
27/04/2020;14250;
28/04/2020;14250;
29/04/2020;14250;
30/04/2020;14250;
04/05/2020;14250;
05/05/2020;14250;
06/05/2020;14250;
08/05/2020;14250;
11/05/2020;14250;
12/05/2020;14250;
13/05/2020;14250;
14/05/2020;14250;
15/05/2020;14250;
18/05/2020;14250;
19/05/2020;14250;
20/05/2020;14250;
26/05/2020;14250;
27/05/2020;14250;
28/05/2020;14250;
29/05/2020;14250;
02/06/2020;14250;
03/06/2020;14250;
04/06/2020;14250;
05/06/2020;14250;
08/06/2020;14250;
09/06/2020;14250;
10/06/2020;14250;
11/06/2020;14250;
12/06/2020;14250;
15/06/2020;14250;
16/06/2020;14250;
17/06/2020;14250;
18/06/2020;14250;
19/06/2020;14250;
22/06/2020;14250;
23/06/2020;14250;
24/06/2020;14500;
25/06/2020;14500;
26/06/2020;14500;
29/06/2020;14500;
30/06/2020;14500;
01/07/2020;14500;
02/07/2020;14500;
03/07/2020;14500;
06/07/2020;14500;
07/07/2020;14500;
08/07/2020;14500;
09/07/2020;14500;
10/07/2020;14500;
13/07/2020;14400;
14/07/2020;14400;
15/07/2020;14400;
16/07/2020;14400;
17/07/2020;14400;
20/07/2020;14400;
21/07/2020;14400;
22/07/2020;14400;
23/07/2020;14400;
24/07/2020;14400;
27/07/2020;14400;
28/07/2020;14400;
29/07/2020;14400;
30/07/2020;14400;
03/08/2020;14400;
04/08/2020;14250;
05/08/2020;14250;
06/08/2020;14250;
07/08/2020;14250;
10/08/2020;14250;
11/08/2020;14250;
12/08/2020;14250;
13/08/2020;14250;
14/08/2020;14250;
18/08/2020;14250;
19/08/2020;14500;
24/08/2020;14250;
25/08/2020;14250;
26/08/2020;14250;
27/08/2020;14250;
28/08/2020;14250;
31/08/2020;14250;
01/09/2020;14250;
02/09/2020;14250;
03/09/2020;14250;
04/09/2020;14250;
07/09/2020;14400;
08/09/2020;14400;
09/09/2020;14400;
10/09/2020;14900;
11/09/2020;14900;
14/09/2020;14900;
15/09/2020;14900;
16/09/2020;14900;
17/09/2020;15000;
18/09/2020;15000;
